Question,Question Explanation,Op1,Op2,Op3,Op4,Answer
Chcesz mie? w?asn? firm? i wpadasz na genialny pomys? na us?ug?. Mocno wierzysz ?e to b?dzie sukces i masz gotowo?? by za?o?y? firm? która b?dzie ?wiadczy? t? us?ug?. Co robisz najpierw?,Twoja firma oferuje us?ugi w zakresie rozwoju us?ug cyfrowych i IT. Firma ma kilka oddzia?ów ale nie jest tak naprawd? „du?a”. Kiedy rozmawiasz z potencjalnym klientem o specyficznych zapotrzebowaniach i mówisz o innowacjach i nowych praktykach czujesz niepokój.,Zak?adasz firm?. Wierzysz tak mocno ?e nie chcesz czeka?.,Za?ó? profesjonaln? stron? www zaprojektuj logotyp i zatrudnij sprzedawc?. Pe?ny profesjonalizm!,Zak?adasz firm?. Wierzysz tak mocno ?e nie chcesz czeka?.,My?lisz ?e nadszed? czas aby poszuka? innowacyjnych praktyk i procesów dla twojej firmy. Zaczynasz monitorowa? klientów i zbiera? ich opinie: w ko?cu to ich odczucia s? najwa?niejsze.,1
Masz 15-letnie do?wiadczenie w HR. Ale masz ju? do?? pracy dla kogo? i chcesz rozpocz?? co? nowego i ekscytuj?cego. Chcesz utrzyma? poziom ?ycia wi?c musi to by? co? co da ci zarówno wolno?? jak i pieni?dze. Co wybierasz?,Twoja firma nie jest ma?a ale nie jest te? du?a i dzia?a na konkurencyjnym rynku. Ty i twój PM uwa?acie ?e wszyscy powinni my?le? nad opracowywaniem nowych narz?dzi skutecznych strategii innowacyjnych us?ug. Wi?c ...,We? udzia? w kursie jogi i za?ó? w?asne studio jogi. B?dziesz samodzielnie decydowa? na co po?wi?casz czas!,Zrób sobie wolne i wyjed? na Daleki Wschód aby pozna? kultur? i odnale?? siebie oraz pomys? na co? co b?dzie mia?o wielkie znaczenie.,We? udzia? w kursie jogi i za?ó? w?asne studio jogi. B?dziesz samodzielnie decydowa? na co po?wi?casz czas!,Twoja firma musi by? na bie??co analizuj?c dzia?ania konkurencji. Jeste? na bie??co bo ca?y czas poszukujesz informacji. W ko?cu innowacyjno?? i konkurencyjno?? to co? co ka?dy pracownik musi sam piel?gnowa?.,0
Masz produkt stron? internetow? obecno?? w mediach spo?eczno?ciowych. Piszesz ciekawe posty promujesz swój produkt ale nikt go nie kupuje. Co robisz?,Twój typowy dzie?: pracujesz na pozycji juniorskiej ale masz dobrze rozwini?t? sie? lokalnych kontaktów. Kontaktujesz wi?c swoich managerów z nowymi potencjalnymi klientami. Co si? potem dzieje?,Zatrudnij agencj? reklamow? która pomo?e Ci stworzy? strategi? komunikacji i wypromowa? twój produkt w ca?ym kraju.,Daj 40% rabatu.,Zatrudnij agencj? reklamow? która pomo?e Ci stworzy? strategi? komunikacji i wypromowa? twój produkt w ca?ym kraju.,Dzi?ki swoim prywatnym kontaktom sprowadzi?e? do firmy potencjalnego klienta. Nawet je?li kontakt jest twój uwa?asz ?e w pierwszym spotkaniu powinni uczestniczyc bardziej do?wiadczeni pracownicy a nie ty.,2
Jeste? do?wiadczonym mened?erem z ch?ci? rozwoju. Podejmujesz szkolenie z coachingu aby lepiej pomóc swojemu zespo?owi w rozwoju i zosta? coachem. Odkrywasz ?e pomaganie ludziom przez coaching to twoje powo?anie i chcesz i?? w tym kierunku. Ale twoim marzeniem jest budowanie ?wiata bez ogranicze? spo?ecznych w którym dziewcz?ta s? zach?cane do nauk ?cis?ych a ch?opcy mog? by? tancerzami baletowymi. Ale boisz si? ?e nie zarobisz na tym i nigdy nie b?dziesz w stanie utrzyma? poziomu ?ycia. Na co si? decydujesz?,Pracujesz samodzielnie czy w zespole? Czasami czujesz ?e samodzielnie wykonujesz zadania szybciej. Bywa naprawd? trudno poniewa? w dziale brakuje pracowników. Co si? stanie gdy pojawi si? nowe zadanie?,Po d?ugich rozmy?laniach stwierdzasz ?e nie mo?esz ukry? si? przed swoim powo?aniem. Rzucasz prac? i zaczynasz pracowa? w szko?ach jako doradca,Po d?ugich rozmy?laniach stwierdzasz ?e czujesz si? za staro na tak du?? zmian? i nie chcesz zaczyna? wszystkiego od nowa. Decydujesz si? pozosta? w pracy i od czasu do czasu robi? sesje coachingowe jako hobby.,Po d?ugich rozmy?laniach stwierdzasz ?e nie mo?esz ukry? si? przed swoim powo?aniem. Rzucasz prac? i zaczynasz pracowa? w szko?ach jako doradca,Zbli?a si? co? nowego: nowy projekt produkt us?uga. Uwa?asz ?e zespó? powinien sk?ada? si? z… nawet dziesi?iu osób lub wi?cej. Z cotygodniowymi spotkaniami kontrolnymi które mog? obejmowa? ca?? firm?. Ka?dy powinien by? ?wiadomy tego co si? dzieje w firmie nawet w innych jednostkach.,0
Chcesz zosta? przedsi?biorc? i podczas bada? natrafiasz na poj?cie propozycji warto?ci. Chcesz wiedzie? wi?cej wi?c czytasz dalej. Co to jest?,Innowacje odkrycia dzia?ania zorientowane na badania: co o tym my?lisz? Bez innowacyjnych praktyk firmy mog? pozosta? w tyle ...,Jest to termin oznaczaj?cy zarówno produkty jak i us?ugi.,Jest to praktyka biznesowa w której firma dodaje co? do produktu który kupuje klient jako gratisowy prezent.,Jest to termin oznaczaj?cy zarówno produkty jak i us?ugi.,My?lisz ?e w twojej firmie brakuje innowacyjnych produktów i przez to firma traci. Mo?e mened?erowie powinni przydzieli? kilku pracownikom oprócz normalnych zada? tak?e dodatkowe zadanie oceny tego problemu.,3
Jeste? pocz?tkuj?cym przedsi?biorc? w bran?y edukacji pozaszkolnej. Wprowadzasz na rynek swój pierwszy produkt którym jest kurs on-line dotycz?cy rodzicielstwa. Dopiero wchodzisz na rynek nie masz bazy klientów ani ?rodków do inwestowania. Co robisz aby rozkr?ci? sprzeda??,Z?o?cisz si? gdy kto? prosi ci? o zrobienie czego? czego wyra?nie nie jeste? w stanie zrobi?. Identyfikacje wizualne prezentacje to bardzo wa?ne narz?dzia ale ludzie cz?sto my?l? ?e s? „?atwe do wykonania”. Pewnego dnia twój PM prosi Ci? o wykonanie prezentacji na temat oferty któr? ma zamiar zaprezentowa? nowemu klientowi...,Piszesz tre?ci edukacyjne w mediach spo?eczno?ciowych specjalistyczny blog itp. Budujeszj reputacj?. Wierzysz ?e gdy ?wiat pozna ci? jako eksperta klienci ci? znajd?.,Mocno wierzysz w swój produkt a klienci z pewno?ci? doceni? jego warto??. Zamieszczasz w mediach spo?eczno?ciowych informacje o rozpocz?ciu kursu i czekasz na klientów.,Piszesz tre?ci edukacyjne w mediach spo?eczno?ciowych specjalistyczny blog itp. Budujeszj reputacj?. Wierzysz ?e gdy ?wiat pozna ci? jako eksperta klienci ci? znajd?.,Nie jeste? grafikiem. Jednak twój prze?o?ony ka?e Ci opracowa? co? „prostego” dla firmy nie ma potrzeby inwestowania w to du?o czasu.,0
Jeste? pocz?tkuj?cym przedsi?biorc?. Dokszta?casz si? w zakresie przedsi?biorczo?ci marketingu i sprzeda?y. Masz pomys? na produkt: internetowe us?ugi doradztwa zawodowego. Zastanawiasz si? kiedy jest odpowiedni czas na rozpocz?cie sprzeda?y swoich us?ug.,Jeste? dyrektorem firmy zlokalizowanej w ma?ym miasteczku. Firma oferuje us?ugi noclegowe w domach wiejskich. Bran?a odczu?a negatywne skutki COVID-19. Jeste? w swoim biurze i zastanawiasz si? co mo?esz zrobi? aby uratowa? swój biznes. Co zrobisz?,Kiedy jeste? powszechnie uznawany za eksperta. Dajesz wi?c sobie 6 miesi?cy na zbudowanie szerokiej rozpoznawalno?ci poprzez artyku?y content marketing blog podcast. Nast?pnie masz zamiar przedstawi? swoj? ofert?.,Gdy masz profesjonaln? stron? internetow? ulotki i wizytówki. To tylko podstawy ale niezb?dne do stworzenia wizerunku fachowo?ci i jako?ci.,Kiedy jeste? powszechnie uznawany za eksperta. Dajesz wi?c sobie 6 miesi?cy na zbudowanie szerokiej rozpoznawalno?ci poprzez artyku?y content marketing blog podcast. Nast?pnie masz zamiar przedstawi? swoj? ofert?.,Mog? zaoferowa? 40% zni?k? wszystkim osobom które mieszkaj? w wiejskich domach mojej firmy w ten sposób sk?oni? wiele osób do zap?acenia za pobyt. Ponadto mog? zaoferowa? wi?cej atrakcyjnych zaj?? aby przyci?gn?? wi?cej go?ci.,1
Twoja przyjació?ka jest bardzo introwertyczn? osob?. Nie lubi rozmawia? z lud?mi i nienawidzi pracy w biurze. Podczas COVID pracowa?a w domu i bardzo si? z tego cieszy?a. Ale teraz firma oczekuje ?e pracownicy wróc? do pracy w biurze. Powiedzia?a ?e ??jej marzeniem jest nie mie? szefa i by? na swoim ale w?tpi by jej si? to uda?o. Jak my?lisz jak powinna post?pi??,Pracujesz w dziale marketingu firmy zajmuj?cej si? patentowaniem technologii zwi?zanych z bezpiecze?stwem i informacj? w rolnictwie. Twój dzia? przygotowuje nowy plan marketingowy na najbli?sze lata i jeste? proszony o pomys?y jak najlepiej wypromowa? produkty i us?ugi firmy aby zwi?kszy? sprzeda?. Co zaproponujesz?,Musi by? bardziej przebojowa co pomo?e jej w biznesie. Mo?e mog?aby wzi?? udzia? w jakich? kursach? Skoro by?a tak szcz??liwa pracuj?c w domu to czy nie jest to warte pewnego wysi?ku i niedogodno?ci?,Przedsi?biorczo?? jest dla ekstrawertyków - trzeba rozmawia? z lud?mi sprzedawa? promowa? swoj? ofert?. Czy to naprawd? dla niej? Fajnie marzy? ale powinna zmierzy? si? z rzeczywisto?ci?.,Musi by? bardziej przebojowa co pomo?e jej w biznesie. Mo?e mog?aby wzi?? udzia? w jakich? kursach? Skoro by?a tak szcz??liwa pracuj?c w domu to czy nie jest to warte pewnego wysi?ku i niedogodno?ci?,Stworzy? ulotki informacyjne o produktach i rozda? je rolnikom w okolicy aby zwi?kszy? ?wiadomo?? na temat firmy. Poprosi? klientów aby polecali firm? innym rolnikom je?li s? zadowoleni z produktów i us?ug.,0
Jeste? specjalist? od coachingu który prowadzi indywidualne sesje coachingowe dla mam które chc? wróci? na rynek pracy. Biznes ma si? ?wietnie masz wiele klientek ale masz wra?enie ?e pracujesz przez ca?y czas. M?czy ci? to. Czasami zastanawiasz si? czy nie jeste? ju? na skraju wypalenia. Chcesz rozwin?? swój biznes ale nie masz gotowo?ci do zatrudniania innych specjalistów. Jaka jest twoja najlepsza opcja?,Czytasz w czasopi?mie rolniczym artyku? o firmie która zaprojektowa?a system segregacji odpadów organicznych i przekszta?cania ich w wysokiej jako?ci nawóz w sposób przyjazny dla ?rodowiska. My?lisz o korzy?ciach jakie gospodarka o obiegu zamkni?tym mo?e przynie?? Twojej firmie. Jakie s? te korzy?ci?,Przyjmij mniej klientów i sp?d? troch? czasu na odpoczynku. Zapomnij na razie o rozwijaniu firmy.,Zwi?ksz ceny. To ureguluje jednocze?nie ilo?? pracy i przychód pozostawiaj?c ci troch? wolnego czasu na odpoczynek.,Przyjmij mniej klientów i sp?d? troch? czasu na odpoczynku. Zapomnij na razie o rozwijaniu firmy.,Zwi?kszona sprzeda? odpady i wydajno?? procesów.,3
Twoja firma pomaga mened?erom zmieni? ?cie?k? kariery. Musisz szybko zwi?kszy? sprzeda?. Rozwa?asz zainwestowanie wi?cej w reklam? rozpocz?cie promocji z 25% rabatem lub zaoferowanie poprzednim klientom nowej us?ugi. Jaka opcja by?aby najbardziej efektywna?,Twoja firma chce stworzy? aplikacj? która pozwoli rolnikom gromadzi? i zarz?dza? informacjami o inwentarzu. W tym celu najpierw przeprowadzasz analiz? ogranicze? ?rodowiska wiejskiego i grupy docelowej. Jakie s? te ograniczenia?,Reklama. Koszt sprzeda?y jest wysoki ale jednocze?nie docierasz do wielu osób które by? mo?e w przysz?o?ci kupi?.,Promocja. Przychody od jednego klienta b?d? ni?sze ale mo?e zwi?kszona liczba klientów to zrekompensuje i w sumie dochód wzro?nie.,Reklama. Koszt sprzeda?y jest wysoki ale jednocze?nie docierasz do wielu osób które by? mo?e w przysz?o?ci kupi?.,Niedobór ?ywego inwentarza brak miejsca dla zwierz?t i niewielkie wsparcie instytucjonalne.,1
Pracujesz na stanowisku juniora w firmie oferuj?cej us?ugi i doradztwo IT. Twój dzia? mia? sfinalizowa? now? umow? ale na ko?cu co? posz?o nie tak. Co teraz?,My?lisz o za?o?eniu firmy. W trakcie bada? nad interesuj?cymi bran?ami odkrywasz przedsi?biorczo?? spo?eczn?. Chcesz wiedzie? wi?cej i kontynuujesz badania. Czym jest przedsi?biorczo?? spo?eczna?,To powa?ny b??d ale firma si? przecie? nie zawali. Ka?dy pope?nia b??dy to si? po prostu zdarza.,Przez twój b??d firma straci pieni?dze. Na pewno otrzymasz formalne ostrze?enie. Ka?dy pope?nia b??dy i ponosi tego konsekwencje. Trzeba wzi?? odpowiedzialno?? za siebie.,To powa?ny b??d ale firma si? przecie? nie zawali. Ka?dy pope?nia b??dy to si? po prostu zdarza.,Przedsi?biorczo?? spo?eczna to rodzaj biznesu który jest szczególnie ukierunkowany na zwi?kszanie sieci kontaktów w spo?ecze?stwie.,0
Jeste? konsultantem technicznym jeszcze niezbyt do?wiadczonym. Mimo ?e stale rozmawiasz z klientami firmy to nigdy nie pracujesz samodzielnie. Co si? stanie je?li nikogo nie b?dzie w pobli?u?,Blokada zwi?zana z COVID-19 zmusi?a twój hotel do zamkni?cia a teraz przy ponownym otwarciu czujesz potrzeb? zastosowania nowych bezpieczniejszych ?rodków w procedurach meldunkowych. Jakie rozwi?zania przychodz? Ci na my?l?,Sta?y klient prosi o rabat. Ale jeste? juniorem i nikogo innego nie ma w pobli?u. Twój klient mo?e pój?? do konkurencji. W stresie zatwierdzasz zni?k? aby wygra? z konkurencj?. Klient jest zadowolony a ty masz tylko nadziej? ?e twoi mened?erowie nie b?d? na Ciebie ?li.,Sta?y klient Twojej firmy prosi o rabat. Ale jeste? juniorem i nikogo innego nie ma w pobli?u. Twój klient mo?e pój?? do konkurencji. Odk?adasz spraw? do czasu powrotu mened?era nie mo?esz podejmowa? takiej decyzji.,Sta?y klient prosi o rabat. Ale jeste? juniorem i nikogo innego nie ma w pobli?u. Twój klient mo?e pój?? do konkurencji. W stresie zatwierdzasz zni?k? aby wygra? z konkurencj?. Klient jest zadowolony a ty masz tylko nadziej? ?e twoi mened?erowie nie b?d? na Ciebie ?li.,Stosujesz si? do wytycznych dotycz?cych bezpiecze?stwa wzmacniasz ?rodki zapobiegawcze ale nie masz ochoty pozbywa? si? niektórych czasoch?onnych procedur takich jak odprawa osobista.,2
Pracujesz od zako?czenia studiów licencjackich a nawet nieco wczesniej od matury. Cieszysz si? zdobyt? niezale?no?ci? i masz pewno?? ?e rozwijasz si? praktykuj?c w bran?y. Niemniej jednak ...,Razem z przyjacielem my?lisz o za?o?eniu firmy. Dobrze znacie si? na obs?udze komputera ale macie niewielki bud?et na pocz?tek i my?licie o za?o?eniu firmy technologicznej która zajmie si? projektowaniem i rozwijaniem stron internetowych. Jakie s? zalety start-upu technologicznego?,Masz bardzo dobr? prac? któr? lubisz. Ale wci?? my?lisz o tym ?eby sko?czy? studia magisterskie. Nie masz do?? pieni?dzy ani wolnego czasu. Decydujesz si? po?wi?ci? czas który masz na hobby i kontakty z przyjació?mi i rodzin?. W ko?cu to twoje pieni?dze i mo?esz je wyda? jak chcesz. Naprawd? chcesz inwestowa? w siebie i swoje kompetencje.,Masz bardzo dobr? prac? któr? lubisz. Ale wci?? my?lisz o tym ?eby sko?czy? studia magisterskie. Nie masz do?? pieni?dzy. Po pracy padasz z nóg i wolisz sp?dza? wolny czas robi?c to co lubisz najbardziej. Zapominasz na razie o szkole.,Masz bardzo dobr? prac? któr? lubisz. Ale wci?? my?lisz o tym ?eby sko?czy? studia magisterskie. Nie masz do?? pieni?dzy ani wolnego czasu. Decydujesz si? po?wi?ci? czas który masz na hobby i kontakty z przyjació?mi i rodzin?. W ko?cu to twoje pieni?dze i mo?esz je wyda? jak chcesz. Naprawd? chcesz inwestowa? w siebie i swoje kompetencje.,Przede wszystkim mo?esz pozyskiwa? wielu klientów z ca?ego ?wiata cho? koszty za?o?enia firmy b?d? bardzo wysokie.,0
Dzia? HR twojej firmy stale zajmuje si? wewn?trznym monitoringiem i ocenami okresowymi. Grudzie? to czas ocen pracowniczych i ewentualnych bonusów. Ale wiesz ?e jest to g??boko powi?zane z wydajno?ci? ka?dego pracownika...,Masz talent do robienia zdj?? i zastanawiasz si? nad innowacj? która pozwoli wykorzysta? twoj? pasj? do stworzenia nowego produktu. Co robisz?,Masz ?wiadomo?? ?e nadchodz? nagrody pracownicze i formalne wyró?nienia. To ?wietnie: takie rzeczy powinny by? og?aszane publicznie. Zmotywuje to tych którzy nie dostan? uznania i premii.,Masz ?wiadomo?? ?e nadchodz? nagrody pracownicze i formalne wyró?nienia. To ?wietnie: ale tylko raz na kwarta? ewentualnie raz na rok. Wspaniale jest przegl?da? wyniki pracowników oraz identyfikowa? i nagradza? tych którzy pracowali najlepiej. Ale ich nazwiska nie b?d? ujawniane w firmie - nie ma potrzeby tworzenia rywalizacji o nagrody.,Masz ?wiadomo?? ?e nadchodz? nagrody pracownicze i formalne wyró?nienia. To ?wietnie: takie rzeczy powinny by? og?aszane publicznie. Zmotywuje to tych którzy nie dostan? uznania i premii.,Oznaczasz wszystkie swoje najlepsze zdj?cia i przyklejasz do ?ciany swojego miasta jako promocj? marketingow? swojego talentu.,1
